국적,목적,연도,월,분기,계절,코로나기간,시계열순서,입국자수,입국자수_1개월전,입국자수_3개월전,입국자수_12개월전,입국자수_3개월평균,입국자수_12개월평균,전년동월대비증감률
스리랑카,관광,2009,5,2,봄,0,53,4.442651256490317,4.990432586778736,3.871201010907891,4.875197323201151,4.721470641684252,4.743481801785603,-35.38461538461539
스리랑카,관광,2009,6,2,여름,0,54,4.418840607796598,4.442651256490317,4.653960350157523,5.099866427824199,4.653960350157523,4.682902534528443,-49.693251533742334
스리랑카,관광,2009,7,3,여름,0,55,4.276666119016055,4.418840607796598,4.990432586778736,5.117993812416755,4.382026634673881,4.606835465307153,-57.22891566265061
스리랑카,관광,2009,8,3,여름,0,56,4.941642422609304,4.276666119016055,4.442651256490317,4.605170185988092,4.58836306767171,4.639571612705423,40.4040404040404
스리랑카,관광,2009,9,3,가을,0,57,4.969813299576001,4.941642422609304,4.418840607796598,5.0106352940962555,4.77631844218392,4.634728988229636,-4.026845637583892
스리랑카,관광,2009,10,4,가을,0,58,5.43372200355424,4.969813299576001,4.276666119016055,5.147494476813453,5.14166355650266,4.6798137289838575,33.33333333333333
스리랑카,관광,2009,11,4,가을,0,59,5.0238805208462765,5.43372200355424,4.941642422609304,4.795790545596741,5.1647859739235145,4.703506086708953,25.833333333333336
스리랑카,관광,2009,12,4,겨울,0,60,4.204692619390966,5.0238805208462765,4.969813299576001,4.290459441148391,5.006180943746876,4.698964065274452,-8.333333333333332
스리랑카,관광,2010,1,1,겨울,0,61,3.6888794541139363,4.204692619390966,5.43372200355424,3.828641396489095,4.458215773031428,4.694401319716034,-13.333333333333334
스리랑카,관광,2010,2,1,겨울,0,62,4.23410650459726,3.6888794541139363,5.0238805208462765,3.871201010907891,4.071871706370042,4.710280670390708,44.680851063829785
스리랑카,관광,2010,3,1,봄,0,63,4.31748811353631,4.23410650459726,4.204692619390966,4.653960350157523,4.116323468940876,4.687517927336844,-28.846153846153843
스리랑카,관광,2010,4,2,봄,0,64,4.912654885736052,4.31748811353631,3.6888794541139363,4.990432586778736,4.53617731450114,4.679040034554547,-7.534246575342466
스리랑카,관광,2010,5,2,봄,0,65,4.454347296253507,4.912654885736052,4.23410650459726,4.442651256490317,4.59511985013459,4.6798137289838575,1.1904761904761905
스리랑카,관광,2010,6,2,여름,0,66,4.919980925828125,4.454347296253507,4.31748811353631,4.418840607796598,4.7847100998201695,4.720728526622364,65.85365853658537
스리랑카,관광,2010,7,3,여름,0,67,5.153291594497779,4.919980925828125,4.912654885736052,4.276666119016055,4.882801922586371,4.7930319231576615,142.25352112676057
스리랑카,관광,2010,8,3,여름,0,68,5.049856007249537,5.153291594497779,4.454347296253507,4.941642422609304,5.045573345457536,4.804021044733257,11.510791366906476
스리랑카,관광,2010,9,3,가을,0,69,5.198497031265826,5.049856007249537,4.919980925828125,4.969813299576001,5.135798437050262,4.828980181845462,25.874125874125873
스리랑카,관광,2010,10,4,가을,0,70,5.793013608384144,5.198497031265826,5.153291594497779,5.43372200355424,5.401174751987744,4.892852258439873,43.42105263157895
스리랑카,관광,2010,11,4,가을,0,71,5.181783550292085,5.793013608384144,5.049856007249537,5.0238805208462765,5.43372200355424,4.908971640319756,17.218543046357617
스리랑카,관광,2010,12,4,겨울,0,72,4.663439094112067,5.181783550292085,5.198497031265826,4.204692619390966,5.318119993844216,4.932673752626544,59.09090909090909
스리랑카,관광,2011,1,1,겨울,0,73,4.276666119016055,4.663439094112067,5.793013608384144,3.6888794541139363,4.77631844218392,4.951710615446226,82.05128205128204
스리랑카,관광,2011,2,1,겨울,0,74,4.727387818712341,4.276666119016055,5.181783550292085,4.23410650459726,4.574710978503383,4.977308289980189,64.70588235294117
스리랑카,관광,2011,3,1,봄,0,75,5.081404364984463,4.727387818712341,4.663439094112067,4.31748811353631,4.747826486389615,5.025523906590006,116.21621621621621
스리랑카,관광,2011,4,2,봄,0,76,4.948759890378168,5.081404364984463,4.276666119016055,4.912654885736052,4.929666231562589,5.028256895446075,3.7037037037037033
스리랑카,관광,2011,5,2,봄,0,77,5.017279836814924,4.948759890378168,4.727387818712341,4.454347296253507,5.017279836814924,5.063122320147014,76.47058823529412
스리랑카,관광,2011,6,2,여름,0,78,5.327876168789581,5.017279836814924,5.081404364984463,4.919980925828125,5.111987788356544,5.098849650919112,50.73529411764706
스리랑카,관광,2011,7,3,여름,0,79,5.093750200806762,5.327876168789581,4.948759890378168,5.153291594497779,5.155216522907363,5.093750200806762,-5.813953488372093
스리랑카,관광,2011,8,3,여름,0,80,5.062595033026967,5.093750200806762,5.017279836814924,5.049856007249537,5.168588259873252,5.094772173302455,1.2903225806451613
스리랑카,관광,2011,9,3,가을,0,81,5.480638923341991,5.062595033026967,5.327876168789581,5.198497031265826,5.231108616854587,5.124459888166212,32.77777777777778
스리랑카,관광,2011,10,4,가을,0,82,5.872117789475416,5.480638923341991,5.093750200806762,5.793013608384144,5.5254529391317835,5.137757301535594,8.256880733944955
스리랑카,관광,2011,11,4,가을,0,83,5.220355825078324,5.872117789475416,5.062595033026967,5.181783550292085,5.560681631015528,5.14117610828438,3.954802259887006
스리랑카,관광,2011,12,4,겨울,0,84,4.465908118654584,5.220355825078324,5.480638923341991,4.663439094112067,5.342334251964811,5.131869158910372,-18.095238095238095
스리랑카,관광,2012,1,1,겨울,0,85,4.941642422609304,4.465908118654584,5.872117789475416,4.276666119016055,4.922411060681417,5.1647859739235145,95.77464788732394
스리랑카,관광,2012,2,1,겨울,0,86,4.962844630259907,4.941642422609304,5.220355825078324,4.727387818712341,4.814890716970161,5.178970608915471,26.785714285714285
스리랑카,관광,2012,3,1,봄,0,87,5.087596335232384,4.962844630259907,4.465908118654584,5.081404364984463,4.99946199349813,5.179439982310617,0.625
스리랑카,관광,2012,4,2,봄,0,88,5.849324779946859,5.087596335232384,4.941642422609304,4.948759890378168,5.381432273258543,5.271716684750857,147.14285714285717
스리랑카,관광,2012,5,2,봄,0,89,5.365976015021851,5.849324779946859,4.962844630259907,5.017279836814924,5.484796933490655,5.298317366548036,42.0
스리랑카,관광,2012,6,2,여름,0,90,6.483107351457199,5.365976015021851,5.087596335232384,5.327876168789581,6.003887067106539,5.469465622743866,218.53658536585368
스리랑카,관광,2012,7,3,여름,0,91,4.890349128221754,6.483107351457199,5.849324779946859,5.093750200806762,5.810142490647111,5.458876042670625,-18.51851851851852
스리랑카,관광,2012,8,3,여름,0,92,5.3230099791384085,4.890349128221754,5.365976015021851,5.062595033026967,5.801110818616763,5.47541697936084,29.936305732484076
스리랑카,관광,2012,9,3,가을,0,93,5.8944028342648505,5.3230099791384085,6.483107351457199,5.480638923341991,5.45389559836648,5.517452896464707,51.46443514644351
스리랑카,관광,2012,10,4,가을,0,94,5.808142489980444,5.8944028342648505,4.890349128221754,5.872117789475416,5.704892968940229,5.510062872909877,-6.214689265536723
스리랑카,관광,2012,11,4,가을,0,95,5.799092654460526,5.808142489980444,5.3230099791384085,5.220355825078324,5.834810737062605,5.557792847109637,78.80434782608695
