국적,목적,data_size,mean,std,min,max,zero_count,zero_ratio,cv,quality_grade,problem_type
덴마크,공용,245,2.012244897959184,2.8779569720935396,0,18,109,44.48979591836735,1.4302220246712316,매우나쁨,높은_0값_비율
덴마크,관광,245,616.3836734693878,347.61784141033127,3,2028,0,0.0,0.5639634149518002,좋음,정상
덴마크,상용,245,32.33877551020408,23.030172798965655,0,107,1,0.40816326530612246,0.7121535195944195,좋음,정상
덴마크,유학연수,245,17.555102040816326,28.473348634627666,0,162,21,8.571428571428571,1.621941505576326,좋음,정상
독일,공용,245,15.914285714285715,9.682077408842572,1,81,0,0.0,0.6083890651875943,좋음,정상
독일,관광,245,6162.836734693878,3336.0725666502685,12,25717,0,0.0,0.5413209387601892,좋음,정상
독일,상용,245,193.95102040816326,63.42619992612874,9,342,0,0.0,0.3270217387495589,좋음,정상
독일,유학연수,245,164.0,236.08379312661253,2,1379,0,0.0,1.4395353239427593,좋음,정상
러시아(연방),공용,245,22.33061224489796,21.962544532192485,0,176,3,1.2244897959183674,0.9835173479047996,좋음,정상
러시아(연방),관광,245,7968.804081632653,5840.247211039003,67,25818,0,0.0,0.7328887937526567,좋음,정상
러시아(연방),상용,245,336.4204081632653,273.99195047676534,2,1113,0,0.0,0.8144332027080732,좋음,정상
러시아(연방),유학연수,245,121.71836734693878,150.16091870230497,3,1124,0,0.0,1.2336750974838107,좋음,정상
루마니아,공용,245,2.6408163265306124,5.8437271387243515,0,51,111,45.30612244897959,2.2128487619589894,매우나쁨,높은_0값_비율
루마니아,관광,245,345.18367346938777,267.6999079491036,34,2070,0,0.0,0.7755288807795954,좋음,정상
루마니아,상용,245,12.477551020408164,7.206306018823751,0,38,1,0.40816326530612246,0.5775416992514946,좋음,정상
루마니아,유학연수,245,5.8244897959183675,7.873345015070144,0,47,34,13.877551020408163,1.3517656122580135,좋음,정상
말레이시아,공용,245,5.09795918367347,4.561801924854463,0,32,18,7.346938775510205,0.8948290405038778,좋음,정상
말레이시아,관광,245,13645.722448979592,11309.020760887775,2,55329,0,0.0,0.8287594008431154,좋음,정상
말레이시아,상용,245,89.07755102040817,59.52074739976893,1,262,0,0.0,0.6681902086209397,좋음,정상
말레이시아,유학연수,245,121.31428571428572,169.6323266052441,2,764,0,0.0,1.3982881373489267,좋음,정상
멕시코,공용,245,3.6979591836734693,3.8451848639137576,0,25,40,16.3265306122449,1.0398126839501882,좋음,정상
멕시코,관광,245,987.3469387755102,1335.3817952092377,12,9516,0,0.0,1.3524949972148128,좋음,정상
멕시코,상용,245,8.918367346938776,6.576899260357925,0,35,11,4.489795918367347,0.7374555234726277,좋음,정상
멕시코,유학연수,245,38.436734693877554,54.237345331776154,0,313,3,1.2244897959183674,1.411080981871632,좋음,정상
몽골,공용,245,124.60408163265306,131.87439061965284,0,425,3,1.2244897959183674,1.0583472779682568,좋음,정상
몽골,관광,245,4204.2,3123.164463683127,0,12622,1,0.40816326530612246,0.7428677188723484,좋음,정상
몽골,상용,245,197.23265306122448,169.11088295164956,0,851,3,1.2244897959183674,0.8574182840766968,좋음,정상
몽골,유학연수,245,468.0734693877551,542.5535958927861,24,3856,0,0.0,1.1591205897707721,좋음,정상
미국,공용,245,1997.004081632653,799.6324283538501,186,4329,0,0.0,0.4004160210329213,좋음,정상
미국,관광,245,44995.22857142857,23476.059556842018,1793,129889,0,0.0,0.5217455339642176,좋음,정상
미국,상용,245,907.3836734693878,844.0262066057369,32,3235,0,0.0,0.930175659187912,좋음,정상
미국,유학연수,245,257.9428571428571,353.69053807150607,7,2055,0,0.0,1.3711972565909076,좋음,정상
미상,공용,245,2.877551020408163,10.161064898895116,0,94,202,82.44897959183673,3.5311502130912107,매우나쁨,높은_0값_비율
미상,관광,245,17.10612244897959,12.6447748581955,0,59,3,1.2244897959183674,0.7391958578520396,좋음,정상
미상,상용,245,1.3306122448979592,1.8289793895029263,0,11,106,43.26530612244898,1.3745397252399292,매우나쁨,높은_0값_비율
미상,유학연수,245,0.4489795918367347,1.0913449457277047,0,8,188,76.73469387755102,2.4307228336662514,매우나쁨,높은_0값_비율
미얀마,공용,245,37.204081632653065,43.85799532313123,0,255,28,11.428571428571429,1.178849024044668,좋음,정상
미얀마,관광,245,1039.2163265306122,478.7996840404868,41,2716,0,0.0,0.4607314875805916,좋음,정상
미얀마,상용,245,24.853061224489796,16.049706371360568,0,80,11,4.489795918367347,0.6457838825723993,좋음,정상
미얀마,유학연수,245,76.18775510204081,137.24199883013438,0,822,2,0.8163265306122449,1.8013655691301256,좋음,정상
방글라데시,공용,245,37.118367346938776,34.27920361680254,0,197,18,7.346938775510205,0.9235105438879065,좋음,정상
방글라데시,관광,245,196.534693877551,107.15480136389705,0,865,1,0.40816326530612246,0.5452207915547918,좋음,정상
방글라데시,상용,245,88.61632653061224,48.147056780391594,0,205,6,2.4489795918367347,0.543320386495138,좋음,정상
방글라데시,유학연수,245,66.31020408163265,93.53623003882619,0,565,1,0.40816326530612246,1.410585766312472,좋음,정상
베네수엘라,공용,245,1.2857142857142858,2.01021979060932,0,15,118,48.16326530612245,1.5635042815850266,매우나쁨,높은_0값_비율
베네수엘라,관광,245,77.28163265306122,54.86449654312045,0,510,2,0.8163265306122449,0.7099293151507611,좋음,정상
베네수엘라,상용,245,3.269387755102041,2.9212480547516724,0,16,46,18.775510204081634,0.8935153226144316,좋음,정상
베네수엘라,유학연수,245,1.6653061224489796,2.173381347986091,0,11,91,37.142857142857146,1.3050941918053733,좋음,정상
베트남,공용,245,130.20816326530613,164.1443335244015,0,708,6,2.4489795918367347,1.2606301280047136,좋음,정상
베트남,관광,245,9359.216326530612,10920.637856966552,50,53659,0,0.0,1.166832507761336,좋음,정상
베트남,상용,245,472.9918367346939,326.26353362843196,0,1586,1,0.40816326530612246,0.6897868172118933,좋음,정상
베트남,유학연수,245,1548.2938775510204,2392.457578671156,22,17304,0,0.0,1.545221881556086,좋음,정상
벨기에,공용,245,2.1877551020408164,2.7604965588195545,0,20,71,28.97959183673469,1.2617941360275948,좋음,정상
벨기에,관광,245,626.3428571428572,425.97070052401267,1,2642,0,0.0,0.6800918948243976,좋음,정상
벨기에,상용,245,19.571428571428573,8.094219755024135,1,44,0,0.0,0.4135732721545178,좋음,정상
벨기에,유학연수,245,15.29795918367347,25.386298177604818,0,169,22,8.979591836734693,1.659456524416537,좋음,정상
불가리아,공용,245,0.7428571428571429,1.5051823047364739,0,19,140,57.14285714285714,2.026206948683715,매우나쁨,높은_0값_비율
불가리아,관광,245,178.58775510204083,126.39450605514224,3,1135,0,0.0,0.7077445258378627,좋음,정상
불가리아,상용,245,2.3020408163265307,2.4758248994533982,0,16,58,23.6734693877551,1.07549131270582,좋음,정상
불가리아,유학연수,245,5.171428571428572,7.039932935597108,0,38,38,15.510204081632653,1.3613129985961256,좋음,정상
브라질,공용,245,6.240816326530612,10.626828065830177,0,135,37,15.10204081632653,1.7027945560028734,좋음,정상
브라질,관광,245,878.4122448979592,637.4256734660994,1,3884,0,0.0,0.7256566346478309,좋음,정상
브라질,상용,245,27.76326530612245,22.585200197974842,0,142,1,0.40816326530612246,0.8134922153048862,좋음,정상
브라질,유학연수,245,24.60816326530612,31.52727050581775,0,191,5,2.0408163265306123,1.2811712181000745,좋음,정상
사우디아라비아,공용,245,8.66530612244898,11.861315255844435,0,60,44,17.959183673469386,1.3688281854365927,좋음,정상
사우디아라비아,관광,245,535.0775510204081,587.2117553323803,0,3576,7,2.857142857142857,1.0974329874474285,좋음,정상
사우디아라비아,상용,245,40.03265306122449,32.481377942051445,0,150,2,0.8163265306122449,0.8113721039766114,좋음,정상
사우디아라비아,유학연수,245,41.57959183673469,54.43433771787382,0,337,12,4.8979591836734695,1.309159982416716,좋음,정상
스리랑카,공용,245,5.355102040816327,7.267744289614016,0,87,36,14.69387755102041,1.3571626150574954,좋음,정상
스리랑카,관광,245,192.31020408163266,120.79362607508733,10,653,0,0.0,0.6281186515917394,좋음,정상
스리랑카,상용,245,44.49387755102041,26.811977444663448,0,137,12,4.8979591836734695,0.6025992545585308,좋음,정상
스리랑카,유학연수,245,20.526530612244898,25.84419565356198,0,211,10,4.081632653061225,1.259063021499838,좋음,정상
스웨덴,공용,245,5.3428571428571425,3.743409509270708,0,19,15,6.122448979591836,0.7006381434463892,좋음,정상
스웨덴,관광,245,968.5632653061225,523.0899848511623,0,3498,1,0.40816326530612246,0.5400679579622869,좋음,정상
스웨덴,상용,245,40.053061224489795,21.642996652845667,1,95,0,0.0,0.5403581147403637,좋음,정상
스웨덴,유학연수,245,33.987755102040815,44.303210263048776,0,237,6,2.4489795918367347,1.303505045568266,좋음,정상
스위스,공용,245,1.126530612244898,1.5352117798857698,0,9,120,48.97959183673469,1.362778572724687,매우나쁨,높은_0값_비율
스위스,관광,245,899.8204081632653,606.0469064853713,0,3995,1,0.40816326530612246,0.6735198501692673,좋음,정상
스위스,상용,245,15.987755102040817,8.414215933516608,0,39,3,1.2244897959183674,0.5262912697757388,좋음,정상
