국적,목적,연도,월,분기,계절,코로나기간,시계열순서,입국자수,입국자수_1개월전,입국자수_3개월전,입국자수_12개월전,입국자수_3개월평균,입국자수_12개월평균,전년동월대비증감률,연월,계절_코드,월_sin,월_cos,분기_sin,분기_cos,연도_정규화,선형트렌드,제곱트렌드,입국자수_6개월전,입국자수_24개월전,증감률_1개월,증감률_3개월,증감률_12개월,국적_빈도,국적_로그빈도,목적_빈도,국적_평균입국자수,목적_평균입국자수,국적_인코딩,목적_인코딩,계절_인코딩,국적목적_조합,국적목적_빈도,계절목적_조합,월국적_상호작용,연도국적_상호작용,국적_평균,국적_표준편차,국적_최소,국적_최대,국적_중앙값,목적_평균,목적_표준편차,목적_최소,목적_최대,계절_평균,계절_표준편차,앙상블예측,RandomForest_예측,XGBoost_예측,GradientBoosting_예측,Ridge_예측,Lasso_예측
필리핀,공용,2026,8,3,여름,0,260,172.33333333333334,163.71666666666667,155.10000000000002,112.66666666666667,179.1111111111111,130.86111111111111,0.1,202608,2,-0.8660254037844385,-0.5000000000000004,-1.0,-1.8369701987210297e-16,,260,67600,87.25,,0.05231205099666098,0.11039931667734348,0.5249266862170088,48,3.8918202981106265,180,4438.402777777778,273.81898148148144,59,0,3,필리핀_공용,12,여름_공용,384,97248,4438.402777777778,7934.530390261756,50.5,26180.333333333332,262.5,273.81898148148144,671.2705769271112,1.25,3532.0,11484.727777777778,33809.51398831366,237,172,176,182,7233,3539
필리핀,관광,2026,8,3,여름,0,260,10283.666666666666,9769.483333333332,9255.3,7008.333333333333,12317.555555555557,12364.222222222224,0.1,202608,2,-0.8660254037844385,-0.5000000000000004,-1.0,-1.8369701987210297e-16,,260,67600,10673.75,,0.05262619215357832,0.11109910727468501,0.467281719611946,48,3.8918202981106265,180,4438.402777777778,44945.81712962963,59,1,3,필리핀_관광,12,여름_관광,384,97248,4438.402777777778,7934.530390261756,50.5,26180.333333333332,262.5,44945.81712962963,54906.56830808382,3273.0,224785.0,11484.727777777778,33809.51398831366,11708,11596,10890,11942,23550,17630
필리핀,상용,2026,8,3,여름,0,260,341.0,323.95,306.90000000000003,189.0,361.3333333333333,302.5833333333333,0.1,202608,2,-0.8660254037844385,-0.5000000000000004,-1.0,-1.8369701987210297e-16,,260,67600,251.5,,0.052469610709339934,0.11075024358557961,0.8,48,3.8918202981106265,180,4438.402777777778,373.4101851851852,59,2,3,필리핀_상용,12,여름_상용,384,97248,4438.402777777778,7934.530390261756,50.5,26180.333333333332,262.5,373.4101851851852,624.3789467077137,24.75,2828.6666666666665,11484.727777777778,33809.51398831366,408,340,363,357,7451,3741
필리핀,유학연수,2026,8,3,여름,0,260,321.0,304.95,288.90000000000003,225.66666666666666,162.0,95.58333333333333,0.1,202608,2,-0.8660254037844385,-0.5000000000000004,-1.0,-1.8369701987210297e-16,,260,67600,200.75,,0.05245955221441416,0.11072783718523616,0.4205882352941177,48,3.8918202981106265,180,4438.402777777778,1424.4648148148149,59,3,3,필리핀_유학연수,12,여름_유학연수,384,97248,4438.402777777778,7934.530390261756,50.5,26180.333333333332,262.5,1424.4648148148149,4236.256416933347,8.75,33336.0,11484.727777777778,33809.51398831366,263,206,162,199,7173,3424
대양주,공용,2026,8,3,여름,0,260,71.33333333333333,67.76666666666667,64.2,50.333333333333336,59.77777777777777,47.555555555555564,0.1,202608,2,-0.8660254037844385,-0.5000000000000004,-1.0,-1.8369701987210297e-16,,260,67600,32.75,,0.051866214251090594,0.10940695296523505,0.40909090909090895,48,3.8918202981106265,180,4086.9861111111113,273.81898148148144,6,0,3,대양주_공용,12,여름_공용,384,97248,4086.9861111111113,7438.677602550389,9.75,24126.0,78.625,273.81898148148144,671.2705769271112,1.25,3532.0,11484.727777777778,33809.51398831366,130,68,70,67,6911,3383
대양주,관광,2026,8,3,여름,0,260,10901.333333333334,10356.266666666666,9811.2,5840.333333333333,12543.333333333334,12145.305555555555,0.1,202608,2,-0.8660254037844385,-0.5000000000000004,-1.0,-1.8369701987210297e-16,,260,67600,7843.75,,0.05262649733842271,0.11109978733957045,0.8664117781328465,48,3.8918202981106265,180,4086.9861111111113,44945.81712962963,6,1,3,대양주_관광,12,여름_관광,384,97248,4086.9861111111113,7438.677602550389,9.75,24126.0,78.625,44945.81712962963,54906.56830808382,3273.0,224785.0,11484.727777777778,33809.51398831366,11888,11801,11346,11925,23059,17279
대양주,상용,2026,8,3,여름,0,260,74.66666666666667,70.93333333333334,67.2,62.0,77.8888888888889,80.47222222222224,0.1,202608,2,-0.8660254037844385,-0.5000000000000004,-1.0,-1.8369701987210297e-16,,260,67600,77.0,,0.05189990732159408,0.10948191593352886,0.20105820105820113,48,3.8918202981106265,180,4086.9861111111113,373.4101851851852,6,2,3,대양주_상용,12,여름_상용,384,97248,4086.9861111111113,7438.677602550389,9.75,24126.0,78.625,373.4101851851852,624.3789467077137,24.75,2828.6666666666665,11484.727777777778,33809.51398831366,138,74,86,79,6951,3408
대양주,유학연수,2026,8,3,여름,0,260,130.33333333333334,123.81666666666666,117.30000000000001,92.0,59.44444444444445,32.80555555555555,0.1,202608,2,-0.8660254037844385,-0.5000000000000004,-1.0,-1.8369701987210297e-16,,260,67600,89.75,,0.05220990786486858,0.11017187940264861,0.4121863799283155,48,3.8918202981106265,180,4086.9861111111113,1424.4648148148149,6,3,3,대양주_유학연수,12,여름_유학연수,384,97248,4086.9861111111113,7438.677602550389,9.75,24126.0,78.625,1424.4648148148149,4236.256416933347,8.75,33336.0,11484.727777777778,33809.51398831366,145,85,60,89,6936,3356
오스트레일리아,공용,2026,8,3,여름,0,260,55.666666666666664,52.883333333333326,50.1,39.0,46.77777777777777,36.25,0.1,202608,2,-0.8660254037844385,-0.5000000000000004,-1.0,-1.8369701987210297e-16,,260,67600,26.25,,0.05165480977420363,0.10893672537508146,0.41666666666666663,48,3.8918202981106265,180,3468.059027777778,273.81898148148144,32,0,3,오스트레일리아_공용,12,여름_공용,384,97248,3468.059027777778,6322.503515646785,8.75,20359.666666666668,61.58333333333333,273.81898148148144,671.2705769271112,1.25,3532.0,11484.727777777778,33809.51398831366,115,55,45,48,6890,3367
오스트레일리아,관광,2026,8,3,여름,0,260,9097.0,8642.15,8187.3,4831.666666666667,10525.888888888889,10274.416666666666,0.1,202608,2,-0.8660254037844385,-0.5000000000000004,-1.0,-1.8369701987210297e-16,,260,67600,6737.75,,0.052625489549527706,0.11109754161425446,0.8826044971720236,48,3.8918202981106265,180,3468.059027777778,44945.81712962963,32,1,3,오스트레일리아_관광,12,여름_관광,384,97248,3468.059027777778,6322.503515646785,8.75,20359.666666666668,61.58333333333333,44945.81712962963,54906.56830808382,3273.0,224785.0,11484.727777777778,33809.51398831366,9757,9603,9074,10179,20898,15111
오스트레일리아,상용,2026,8,3,여름,0,260,60.0,57.0,54.0,47.666666666666664,61.555555555555564,64.61111111111111,0.1,202608,2,-0.8660254037844385,-0.5000000000000004,-1.0,-1.8369701987210297e-16,,260,67600,62.5,,0.05172413793103448,0.10909090909090909,0.25342465753424664,48,3.8918202981106265,180,3468.059027777778,373.4101851851852,32,2,3,오스트레일리아_상용,12,여름_상용,384,97248,3468.059027777778,6322.503515646785,8.75,20359.666666666668,61.58333333333333,373.4101851851852,624.3789467077137,24.75,2828.6666666666665,11484.727777777778,33809.51398831366,126,62,73,70,6925,3386
오스트레일리아,유학연수,2026,8,3,여름,0,260,111.66666666666667,106.08333333333333,100.5,77.0,50.55555555555555,27.138888888888886,0.1,202608,2,-0.8660254037844385,-0.5000000000000004,-1.0,-1.8369701987210297e-16,,260,67600,72.25,,0.052140077821011765,0.110016420361248,0.44444444444444453,48,3.8918202981106265,180,3468.059027777778,1424.4648148148149,32,3,3,오스트레일리아_유학연수,12,여름_유학연수,384,97248,3468.059027777778,6322.503515646785,8.75,20359.666666666668,61.58333333333333,1424.4648148148149,4236.256416933347,8.75,33336.0,11484.727777777778,33809.51398831366,125,65,46,65,6923,3348
러시아(연방),공용,2026,8,3,여름,0,260,22.333333333333332,21.216666666666665,20.099999999999998,25.666666666666668,13.999999999999998,11.305555555555557,0.1,202608,2,-0.8660254037844385,-0.5000000000000004,-1.0,-1.8369701987210297e-16,,260,67600,6.0,,0.05026256564141038,0.10584518167456562,-0.12500000000000008,48,3.8918202981106265,180,1874.1996527777776,273.81898148148144,9,0,3,러시아(연방)_공용,12,여름_공용,384,97248,1874.1996527777776,3250.0297276663496,5.0,10342.25,94.875,273.81898148148144,671.2705769271112,1.25,3532.0,11484.727777777778,33809.51398831366,79,19,15,14,6830,3323
러시아(연방),관광,2026,8,3,여름,0,260,7221.666666666667,6860.583333333333,6499.5,3684.0,7730.0,5401.61111111111,0.1,202608,2,-0.8660254037844385,-0.5000000000000004,-1.0,-1.8369701987210297e-16,,260,67600,3273.0,,0.05262390847593495,0.1110940184088404,0.9600180913613751,48,3.8918202981106265,180,1874.1996527777776,44945.81712962963,9,1,3,러시아(연방)_관광,12,여름_관광,384,97248,1874.1996527777776,3250.0297276663496,5.0,10342.25,94.875,44945.81712962963,54906.56830808382,3273.0,224785.0,11484.727777777778,33809.51398831366,7645,7486,7381,7966,17818,12024
러시아(연방),상용,2026,8,3,여름,0,260,88.33333333333333,83.91666666666666,79.5,72.0,69.44444444444444,79.83333333333333,0.1,202608,2,-0.8660254037844385,-0.5000000000000004,-1.0,-1.8369701987210297e-16,,260,67600,83.0,,0.05201177625122676,0.10973084886128359,0.22374429223744285,48,3.8918202981106265,180,1874.1996527777776,373.4101851851852,9,2,3,러시아(연방)_상용,12,여름_상용,384,97248,1874.1996527777776,3250.0297276663496,5.0,10342.25,94.875,373.4101851851852,624.3789467077137,24.75,2828.6666666666665,11484.727777777778,33809.51398831366,141,80,79,77,6903,3379
러시아(연방),유학연수,2026,8,3,여름,0,260,835.0,793.25,751.5,615.0,361.0,214.44444444444443,0.1,202608,2,-0.8660254037844385,-0.5000000000000004,-1.0,-1.8369701987210297e-16,,260,67600,582.5,,0.05256531318854265,0.11096345514950166,0.35714285714285715,48,3.8918202981106265,180,1874.1996527777776,1424.4648148148149,9,3,3,러시아(연방)_유학연수,12,여름_유학연수,384,97248,1874.1996527777776,3250.0297276663496,5.0,10342.25,94.875,1424.4648148148149,4236.256416933347,8.75,33336.0,11484.727777777778,33809.51398831366,496,434,408,470,6990,3416
캐나다,공용,2026,8,3,여름,0,260,25.333333333333332,24.066666666666663,22.8,20.333333333333332,27.33333333333333,25.694444444444443,0.1,202608,2,-0.8660254037844385,-0.5000000000000004,-1.0,-1.8369701987210297e-16,,260,67600,35.75,,0.050531914893617136,0.10644257703081224,0.234375,48,3.8918202981106265,180,3146.125,273.81898148148144,48,0,3,캐나다_공용,12,여름_공용,384,97248,3146.125,5707.001325929473,13.5,17405.333333333332,33.16666666666667,273.81898148148144,671.2705769271112,1.25,3532.0,11484.727777777778,33809.51398831366,88,26,27,29,6892,3349
캐나다,관광,2026,8,3,여름,0,260,11712.0,11126.4,10540.800000000001,5741.333333333333,11977.111111111111,9703.02777777778,0.1,202608,2,-0.8660254037844385,-0.5000000000000004,-1.0,-1.8369701987210297e-16,,260,67600,6591.0,,0.05262684903930841,0.11110057105997066,1.0397631624775063,48,3.8918202981106265,180,3146.125,44945.81712962963,48,1,3,캐나다_관광,12,여름_관광,384,97248,3146.125,5707.001325929473,13.5,17405.333333333332,33.16666666666667,44945.81712962963,54906.56830808382,3273.0,224785.0,11484.727777777778,33809.51398831366,11869,11770,11037,12182,21874,16038
