국적,목적,test_samples,mae_linear,mae_xgb
인도네시아,공용,46,86.04926547178441,6.929080488889114
중  국,공용,46,91.1946196311475,4.523198166619176
필리핀,상용,46,92.60795246927971,5.313309959743334
네덜란드,기타,46,93.85183855887135,12.59839397927989
대  만,유학연수,46,97.315096028334,5.92931084010912
멕시코,기타,46,99.73413061068044,4.8264357525369395
그리스,관광,46,99.76853771433838,6.653662474259086
우크라이나,관광,46,100.92744546579384,8.64697033426036
태  국,공용,46,102.09518033530463,4.639990080957827
불가리아,관광,46,102.86672546650823,3.8123826151308804
남아프리카 공화국,관광,46,103.11843382886006,9.704947513082754
미얀마,유학연수,46,107.20203371378743,8.787211169367252
터  키,기타,46,109.00708088618669,7.1263600225033965
프랑스,기타,46,110.97150538487321,9.375435207201088
칠  레,관광,46,112.30667567045919,5.3602948707083
프랑스,유학연수,46,112.69172055596769,7.541902490284132
오스트레일리아,기타,46,117.67929772506261,5.7386637148649795
파키스탄,기타,46,118.31769024283535,10.965236000392748
베트남,상용,46,136.84040210814794,7.715270011321358
남아프리카 공화국,기타,46,138.0962682247143,8.127400605574898
콜롬비아,관광,46,140.06799050295277,13.983169887376869
영  국,기타,46,140.44996639276,8.629927925441576
우크라이나,기타,46,149.806908790414,6.6571177606997285
싱가포르,기타,46,155.40946589136584,10.104766016421111
이탈리아,기타,46,166.87899231102963,13.00767815631369
말레이시아,기타,46,178.86704220075381,4.535773899244226
우즈베키스탄,관광,46,181.18726199402568,6.025924620421036
독  일,기타,46,181.41371821520622,15.39396335767663
카자흐스탄,기타,46,187.00637689820843,12.32225633704144
몽  골,기타,46,195.89138480600516,10.479631838591203
루마니아,관광,46,206.1796155207916,11.340005211208178
노르웨이,관광,46,242.29714798009456,12.11856140261111
방글라데시,기타,46,254.94314593756005,24.67711423790973
우즈베키스탄,유학연수,46,256.5937926738546,18.591436178787895
스리랑카,기타,46,261.1354899974738,21.264445760975715
덴마크,관광,46,263.49505138364924,12.392976512079654
미얀마,관광,46,277.43489539106673,13.899914285411006
일  본,상용,46,302.8310628524686,23.48853467858356
태  국,기타,46,311.32649556388174,26.83493705417799
일  본,유학연수,46,314.67599395768553,14.574612658956777
벨기에,관광,46,320.39773165795066,19.086533712304156
일  본,기타,46,322.55763379428674,33.161268814750336
인  도,상용,46,328.64755442831,25.602589814559273
몽  골,유학연수,46,347.73495931593897,19.847777325174082
브라질,관광,46,349.7212261131859,26.77297450148541
스웨덴,관광,46,372.885226100587,29.442103867945463
미  국,공용,46,400.65585718329504,26.921219535495926
캐나다,기타,46,408.28185826919724,34.13826851222826
중  국,상용,46,408.5917613123467,34.653475222380266
우즈베키스탄,기타,46,427.8960810897452,26.420871900475543
