국적,목적,YearMonth,Headcount
구 주,유학연수,2019-01-01,1177
구 주,기타,2019-01-01,19485
러시아(연방),관광,2019-01-01,17260
러시아(연방),상용,2019-01-01,181
러시아(연방),공용,2019-01-01,37
러시아(연방),유학연수,2019-01-01,191
러시아(연방),기타,2019-01-01,7525
폴란드,관광,2019-01-01,713
폴란드,상용,2019-01-01,10
폴란드,공용,2019-01-01,0
폴란드,유학연수,2019-01-01,27
폴란드,기타,2019-01-01,574
덴마크,관광,2019-01-01,520
덴마크,상용,2019-01-01,21
덴마크,공용,2019-01-01,6
덴마크,유학연수,2019-01-01,16
덴마크,기타,2019-01-01,188
그리스,관광,2019-01-01,481
그리스,상용,2019-01-01,17
그리스,공용,2019-01-01,4
그리스,유학연수,2019-01-01,0
그리스,기타,2019-01-01,273
스위스,관광,2019-01-01,613
스위스,상용,2019-01-01,18
스위스,공용,2019-01-01,0
스위스,유학연수,2019-01-01,19
스위스,기타,2019-01-01,97
노르웨이,관광,2019-01-01,552
노르웨이,상용,2019-01-01,66
노르웨이,공용,2019-01-01,4
노르웨이,유학연수,2019-01-01,28
노르웨이,기타,2019-01-01,151
스페인,관광,2019-01-01,1010
스페인,상용,2019-01-01,36
스페인,공용,2019-01-01,15
스페인,유학연수,2019-01-01,52
스페인,기타,2019-01-01,255
루마니아,관광,2019-01-01,412
루마니아,상용,2019-01-01,8
루마니아,공용,2019-01-01,4
루마니아,유학연수,2019-01-01,3
루마니아,기타,2019-01-01,445
벨기에,관광,2019-01-01,490
벨기에,상용,2019-01-01,24
벨기에,공용,2019-01-01,4
벨기에,유학연수,2019-01-01,22
벨기에,기타,2019-01-01,169
독  일,관광,2019-01-01,4925
독  일,상용,2019-01-01,278
독  일,공용,2019-01-01,19
독  일,유학연수,2019-01-01,177
독  일,기타,2019-01-01,1451
영  국,관광,2019-01-01,7982
영  국,상용,2019-01-01,175
영  국,공용,2019-01-01,17
영  국,유학연수,2019-01-01,41
영  국,기타,2019-01-01,1933
프랑스,관광,2019-01-01,3773
프랑스,상용,2019-01-01,297
프랑스,공용,2019-01-01,48
프랑스,유학연수,2019-01-01,288
프랑스,기타,2019-01-01,1168
네덜란드,관광,2019-01-01,1592
네덜란드,상용,2019-01-01,47
네덜란드,공용,2019-01-01,16
네덜란드,유학연수,2019-01-01,77
네덜란드,기타,2019-01-01,537
우크라이나,관광,2019-01-01,593
우크라이나,상용,2019-01-01,58
우크라이나,공용,2019-01-01,3
우크라이나,유학연수,2019-01-01,28
우크라이나,기타,2019-01-01,1580
이탈리아,관광,2019-01-01,1968
이탈리아,상용,2019-01-01,83
이탈리아,공용,2019-01-01,17
이탈리아,유학연수,2019-01-01,40
이탈리아,기타,2019-01-01,623
불가리아,관광,2019-01-01,154
불가리아,상용,2019-01-01,1
불가리아,공용,2019-01-01,1
불가리아,유학연수,2019-01-01,10
불가리아,기타,2019-01-01,265
스웨덴,관광,2019-01-01,844
스웨덴,상용,2019-01-01,29
스웨덴,공용,2019-01-01,6
스웨덴,유학연수,2019-01-01,18
스웨덴,기타,2019-01-01,85
구 주 기타,관광,2019-01-01,3799
구 주 기타,상용,2019-01-01,116
구 주 기타,공용,2019-01-01,29
구 주 기타,유학연수,2019-01-01,140
구 주 기타,기타,2019-01-01,2166
대양주,관광,2019-01-01,15379
대양주,상용,2019-01-01,116
대양주,공용,2019-01-01,38
대양주,유학연수,2019-01-01,39
대양주,기타,2019-01-01,2052
오스트레일리아,관광,2019-01-01,12795
오스트레일리아,상용,2019-01-01,93
오스트레일리아,공용,2019-01-01,17
오스트레일리아,유학연수,2019-01-01,34
오스트레일리아,기타,2019-01-01,1346
뉴질랜드,관광,2019-01-01,2029
뉴질랜드,상용,2019-01-01,20
뉴질랜드,공용,2019-01-01,17
뉴질랜드,유학연수,2019-01-01,5
뉴질랜드,기타,2019-01-01,654
키리바시,관광,2019-01-01,23
키리바시,공용,2019-01-01,2
키리바시,유학연수,2019-01-01,0
키리바시,기타,2019-01-01,34
피  지,관광,2019-01-01,461
피  지,공용,2019-01-01,2
피  지,유학연수,2019-01-01,0
피  지,기타,2019-01-01,9
대양주 기타,관광,2019-01-01,71
대양주 기타,상용,2019-01-01,3
대양주 기타,공용,2019-01-01,0
대양주 기타,유학연수,2019-01-01,0
대양주 기타,기타,2019-01-01,9
아프리카주,관광,2019-01-01,1136
아프리카주,상용,2019-01-01,727
아프리카주,공용,2019-01-01,91
아프리카주,유학연수,2019-01-01,212
아프리카주,기타,2019-01-01,1524
남아프리카 공화국,관광,2019-01-01,368
남아프리카 공화국,상용,2019-01-01,9
남아프리카 공화국,공용,2019-01-01,1
남아프리카 공화국,유학연수,2019-01-01,6
남아프리카 공화국,기타,2019-01-01,616
나이지리아,관광,2019-01-01,42
나이지리아,상용,2019-01-01,60
나이지리아,공용,2019-01-01,13
나이지리아,유학연수,2019-01-01,17
나이지리아,기타,2019-01-01,42
이집트,관광,2019-01-01,99
이집트,상용,2019-01-01,141
이집트,공용,2019-01-01,2
이집트,유학연수,2019-01-01,7
이집트,기타,2019-01-01,141
아프리카주 기타,관광,2019-01-01,627
아프리카주 기타,상용,2019-01-01,517
아프리카주 기타,공용,2019-01-01,75
아프리카주 기타,유학연수,2019-01-01,182
아프리카주 기타,기타,2019-01-01,725
기 타,관광,2019-01-01,33
기 타,상용,2019-01-01,4
기 타,공용,2019-01-01,0
기 타,유학연수,2019-01-01,1
기 타,기타,2019-01-01,15542
교포,기타,2019-01-01,15526
미상,관광,2019-01-01,33
미상,상용,2019-01-01,4
미상,공용,2019-01-01,0
미상,유학연수,2019-01-01,1
미상,기타,2019-01-01,16
전 체, ,2019-01-01,1104803
전 체, ,2019-01-01,0
아시아주,관광,2019-02-01,800387
아시아주,상용,2019-02-01,9380
아시아주,공용,2019-02-01,1398
아시아주,유학연수,2019-02-01,56644
아시아주,기타,2019-02-01,149399
일  본,관광,2019-02-01,204697
일  본,상용,2019-02-01,2125
일  본,공용,2019-02-01,119
일  본,유학연수,2019-02-01,2084
일  본,기타,2019-02-01,4175
인  도,관광,2019-02-01,2372
인  도,상용,2019-02-01,2303
인  도,공용,2019-02-01,102
인  도,유학연수,2019-02-01,360
인  도,기타,2019-02-01,3172
베트남,관광,2019-02-01,20071
베트남,상용,2019-02-01,806
베트남,공용,2019-02-01,98
베트남,유학연수,2019-02-01,9324
베트남,기타,2019-02-01,11882
미얀마,관광,2019-02-01,1107
미얀마,상용,2019-02-01,13
미얀마,공용,2019-02-01,25
미얀마,유학연수,2019-02-01,231
미얀마,기타,2019-02-01,3991
몽  골,관광,2019-02-01,6670
몽  골,상용,2019-02-01,109
몽  골,공용,2019-02-01,314
몽  골,유학연수,2019-02-01,1152
몽  골,기타,2019-02-01,931
스리랑카,관광,2019-02-01,241
스리랑카,상용,2019-02-01,52
스리랑카,공용,2019-02-01,0
스리랑카,유학연수,2019-02-01,48
스리랑카,기타,2019-02-01,1175
파키스탄,관광,2019-02-01,257
파키스탄,상용,2019-02-01,290
파키스탄,공용,2019-02-01,11
파키스탄,유학연수,2019-02-01,463
파키스탄,기타,2019-02-01,418
방글라데시,관광,2019-02-01,228
방글라데시,상용,2019-02-01,83
방글라데시,공용,2019-02-01,38
방글라데시,유학연수,2019-02-01,265
방글라데시,기타,2019-02-01,1042
중  국,관광,2019-02-01,324291
중  국,상용,2019-02-01,2694
중  국,공용,2019-02-01,143
중  국,유학연수,2019-02-01,38731
중  국,기타,2019-02-01,87520
대  만,관광,2019-02-01,92276
대  만,상용,2019-02-01,105
대  만,공용,2019-02-01,20
대  만,유학연수,2019-02-01,908
대  만,기타,2019-02-01,1250
필리핀,관광,2019-02-01,15541
필리핀,상용,2019-02-01,171
필리핀,공용,2019-02-01,57
필리핀,유학연수,2019-02-01,189
필리핀,기타,2019-02-01,13336
홍  콩,관광,2019-02-01,49695
홍  콩,상용,2019-02-01,54
홍  콩,공용,2019-02-01,3
홍  콩,유학연수,2019-02-01,489
홍  콩,기타,2019-02-01,1071
태  국,관광,2019-02-01,32074
태  국,상용,2019-02-01,56
태  국,공용,2019-02-01,180
태  국,유학연수,2019-02-01,332
태  국,기타,2019-02-01,6578
말레이시아,관광,2019-02-01,24047
말레이시아,상용,2019-02-01,136
말레이시아,공용,2019-02-01,2
말레이시아,유학연수,2019-02-01,604
말레이시아,기타,2019-02-01,2695
싱가포르,관광,2019-02-01,8228
싱가포르,상용,2019-02-01,114
싱가포르,공용,2019-02-01,6
