국적,목적,연도,월,분기,계절,코로나기간,시계열순서,입국자수,입국자수_1개월전,입국자수_3개월전,입국자수_12개월전,입국자수_3개월평균,입국자수_12개월평균,전년동월대비증감률,국적_encoded,목적_encoded,계절_encoded,예측_LightGBM,예측_GradientBoosting,예측_RandomForest,예측_Ensemble
그리스,관광,2021,12,4,겨울,1,204,214,140.0,139.0,64.0,187.33333333333331,123.5,234.375,0,1,1,345.89661895597806,281.50738998653287,490.6160082339442,372.6733390588184
그리스,관광,2022,1,1,겨울,1,205,188,214.0,208.0,82.0,180.66666666666663,132.33333333333334,129.26829268292684,0,1,1,377.49918450437076,257.31747119009367,459.0582997145943,364.6249851363529
그리스,관광,2022,2,1,겨울,1,206,138,188.0,140.0,70.0,180.0,138.0,97.14285714285714,0,1,1,366.5690025815982,269.58940385971147,418.6195457098075,351.5926507170391
그리스,관광,2022,3,1,봄,1,207,238,138.0,214.0,131.0,188.0,146.91666666666666,81.67938931297711,0,1,2,441.86436481448646,313.0029553031637,503.37914080373275,419.4154869737943
그리스,관광,2022,4,2,봄,1,208,204,238.0,188.0,97.0,193.33333333333331,155.83333333333334,110.30927835051548,0,1,2,468.1333351305312,311.52320218791806,502.8343515347181,427.49696295105576
그리스,관광,2022,5,2,봄,1,209,297,204.0,138.0,81.0,246.33333333333331,173.83333333333334,266.66666666666663,0,1,2,463.91832258440866,311.52320218791806,499.00922297272314,424.8169159150166
그리스,관광,2022,6,2,여름,1,210,297,297.0,238.0,109.0,266.0,189.5,172.4770642201835,0,1,3,467.30020113463337,312.6109650490023,511.44524214303533,430.45213610889033
그리스,관광,2022,7,3,여름,0,211,411,297.0,204.0,125.0,335.0,213.33333333333331,228.8,0,1,3,474.95634470295244,312.6109650490023,534.041940222348,440.5364166581009
그리스,관광,2022,8,3,여름,0,212,377,411.0,297.0,86.0,361.6666666666667,237.58333333333331,338.3720930232558,0,1,3,485.62184635610015,362.5939152021587,493.92827853309444,447.3813466971178
그리스,관광,2022,9,3,가을,0,213,335,377.0,297.0,139.0,374.3333333333333,253.91666666666663,141.0071942446043,0,1,0,499.06198168145266,331.1337428563513,671.3487528939262,500.5148258105767
