국적,목적,연도,월,분기,계절,코로나기간,시계열순서,입국자수,입국자수_1개월전,입국자수_3개월전,입국자수_12개월전,입국자수_3개월평균,입국자수_12개월평균,전년동월대비증감률,국적_encoded,목적_encoded,계절_encoded,예측_Prophet,예측_SARIMAX,예측_ExponentialSmoothing,예측_LightGBM,예측_GradientBoosting,예측_RandomForest,예측_LSTM_CPU,예측_GRU_CPU,예측_DenseNN_CPU,예측_LSTM_GPU,예측_GRU_GPU,예측_BiLSTM_GPU,예측_평균,최고모델_예측
브라질,유학연수,2022,12,4,겨울,0,216,16,12.0,16.0,11.0,11.333333333333334,30.25,45.45454545454545,22,3,1,7745.873789243419,7128.129131546949,5630.941558074914,87.68027777452232,15.739412846817169,16.495408148667003,2930.4532004830917,2473.024456521739,2076.879679951691,4023.914553140097,2950.605072463768,4665.624698067633,3312.1134365219427,15.739412846817169
브라질,유학연수,2023,1,1,겨울,0,217,32,16.0,6.0,27.0,20.0,30.666666666666668,18.51851851851852,22,3,1,7745.873789243419,7128.129131546949,5630.941558074914,87.68027777452232,17.674099656211887,24.897346249196328,2930.4532004830917,2473.024456521739,2076.879679951691,4023.914553140097,2950.605072463768,4665.624698067633,3312.9748219311027,17.674099656211887
브라질,유학연수,2023,2,1,겨울,0,218,115,32.0,12.0,95.0,54.333333333333336,32.333333333333336,21.052631578947366,22,3,1,7745.873789243419,7128.129131546949,5630.941558074914,101.58441191577829,44.6201288037684,85.72520077857193,2930.4532004830917,2473.024456521739,2076.879679951691,4023.914553140097,2950.605072463768,4665.624698067633,3321.447990082619,44.6201288037684
브라질,유학연수,2023,3,1,봄,0,219,21,115.0,16.0,15.0,56.0,32.833333333333336,40.0,22,3,2,7745.873789243419,7128.129131546949,5630.941558074914,105.33298645787933,39.70117851081903,33.46795970382103,2930.4532004830917,2473.024456521739,2076.879679951691,4023.914553140097,2950.605072463768,4665.624698067633,3316.9956886804853,39.70117851081903
브라질,유학연수,2023,4,2,봄,0,220,7,21.0,32.0,5.0,47.66666666666666,33.0,40.0,22,3,2,7745.873789243419,7128.129131546949,5630.941558074914,97.75237158385649,30.64378587559094,28.542562709564777,2930.4532004830917,2473.024456521739,2076.879679951691,4023.914553140097,2950.605072463768,4665.624698067633,3315.198738305193,30.64378587559094
브라질,유학연수,2023,5,2,봄,0,221,17,7.0,115.0,24.0,15.0,32.416666666666664,-29.166666666666668,22,3,2,7745.873789243419,7128.129131546949,5630.941558074914,87.68027777452232,17.07110047689384,19.72962807562031,2930.4532004830917,2473.024456521739,2076.879679951691,4023.914553140097,2950.605072463768,4665.624698067633,3312.493928818362,17.07110047689384
브라질,유학연수,2023,6,2,여름,0,222,17,17.0,21.0,14.0,13.666666666666666,32.666666666666664,21.428571428571427,22,3,3,7745.873789243419,7128.129131546949,5630.941558074914,87.68027777452232,16.43115225580717,19.498154853258708,2930.4532004830917,2473.024456521739,2076.879679951691,4023.914553140097,2950.605072463768,4665.624698067633,3312.4213103647403,16.43115225580717
브라질,유학연수,2023,7,3,여름,0,223,34,17.0,7.0,13.0,22.666666666666668,34.416666666666664,161.53846153846155,22,3,3,7745.873789243419,7128.129131546949,5630.941558074914,87.68027777452232,17.83641491758765,25.59120930923017,2930.4532004830917,2473.024456521739,2076.879679951691,4023.914553140097,2950.605072463768,4665.624698067633,3313.0461701245536,17.83641491758765
브라질,유학연수,2023,8,3,여름,0,224,114,34.0,17.0,120.0,55.0,33.916666666666664,-5.0,22,3,3,7745.873789243419,7128.129131546949,5630.941558074914,101.58441191577829,49.425935633316094,99.76291230518706,2930.4532004830917,2473.024456521739,2076.879679951691,4023.914553140097,2950.605072463768,4665.624698067633,3323.018283278965,49.425935633316094
브라질,유학연수,2023,9,3,가을,0,225,25,114.0,17.0,16.0,57.66666666666666,34.666666666666664,56.25,22,3,0,7745.873789243419,7128.129131546949,5630.941558074914,105.33298645787933,41.23282643568913,33.981863445926066,2930.4532004830917,2473.024456521739,2076.879679951691,4023.914553140097,2950.605072463768,4665.624698067633,3317.1661513194,41.23282643568913
