국적,목적,연도,월,분기,계절,코로나기간,시계열순서,입국자수,입국자수_1개월전,입국자수_3개월전,입국자수_12개월전,입국자수_3개월평균,입국자수_12개월평균,전년동월대비증감률,국적_encoded,목적_encoded,계절_encoded,date,trend,lag_1,lag_3,lag_6,lag_12,ma_3,ma_6,ma_12,sin_month,cos_month,vs_lag12,vs_ma12,nat_mean,nat_std,pur_mean,pur_std,예측_LightGBM,예측_GradientBoosting,예측_RandomForest,예측_Weighted_Ensemble
베트남,관광,2022,1,1,겨울,1,205,615,976.0,303.0,80.0,694.3333333333334,380.5833333333333,668.75,19,1,1,2022-01-01,204,976.0,303.0,493.0,80.0,694.3333333333334,532.8333333333334,380.5833333333333,0.49999999999999994,0.8660254037844387,7.592592592592593,1.6117056125791658,2898.3802672147995,6763.337496066618,10891.25741769408,43095.18402964217,1587.6156857540968,802.1057295909511,816.523236907175,1061.8250136481802
베트남,관광,2022,2,1,겨울,1,206,279,615.0,492.0,50.0,623.3333333333334,399.6666666666667,458.0,19,1,1,2022-02-01,205,615.0,492.0,507.0,50.0,623.3333333333334,494.8333333333333,399.6666666666667,0.8660254037844386,0.5000000000000001,5.470588235294118,0.6963394342762063,2898.3802672147995,6763.337496066618,10891.25741769408,43095.18402964217,1500.0353979883678,506.56749105829925,628.8689687079769,869.8968048326323
베트남,관광,2022,3,1,봄,1,207,357,279.0,976.0,112.0,417.0,420.0833333333333,218.75,19,1,2,2022-03-01,206,279.0,976.0,304.0,112.0,417.0,503.6666666666667,420.0833333333333,1.0,6.123233995736766e-17,3.15929203539823,0.8478131802889373,2898.3802672147995,6763.337496066618,10891.25741769408,43095.18402964217,1378.7849539467036,407.29405384440724,589.0874537000727,783.4154227597801
베트남,관광,2022,4,2,봄,1,208,472,357.0,615.0,97.0,369.3333333333333,451.3333333333333,386.5979381443299,19,1,2,2022-04-01,207,357.0,615.0,303.0,97.0,369.3333333333333,531.8333333333334,451.3333333333333,0.8660254037844387,-0.4999999999999998,4.816326530612245,1.0434782608695652,2898.3802672147995,6763.337496066618,10891.25741769408,43095.18402964217,1315.6711149651667,367.8703354992116,626.3121865052764,761.9734620346768
베트남,관광,2022,5,2,봄,1,209,722,472.0,279.0,173.0,517.0,497.0833333333333,317.3410404624277,19,1,2,2022-05-01,208,472.0,279.0,492.0,173.0,517.0,570.1666666666666,497.0833333333333,0.49999999999999994,-0.8660254037844387,4.149425287356322,1.4495566337627572,2898.3802672147995,6763.337496066618,10891.25741769408,43095.18402964217,1425.1238934880444,548.988809244383,717.2523976066752,889.6370348759124
베트남,관광,2022,6,2,여름,1,210,4534,722.0,357.0,445.0,1909.3333333333333,837.8333333333334,918.876404494382,19,1,3,2022-06-01,209,722.0,357.0,976.0,445.0,1909.3333333333333,1163.1666666666667,837.8333333333334,1.2246467991473532e-16,-1.0,10.165919282511211,5.4051261672958475,2898.3802672147995,6763.337496066618,10891.25741769408,43095.18402964217,1809.88645169136,1873.7854523418184,1660.6927452065825,1781.6876506967938
베트남,관광,2022,7,3,여름,0,211,7224,4534.0,472.0,493.0,4160.0,1398.75,1365.3144016227182,19,1,3,2022-07-01,210,4534.0,472.0,615.0,493.0,4160.0,2264.6666666666665,1398.75,-0.4999999999999997,-0.8660254037844388,14.623481781376519,5.160921593141633,2898.3802672147995,6763.337496066618,10891.25741769408,43095.18402964217,4252.140543029549,5752.318163810418,4121.33810161411,4719.32095005995
베트남,관광,2022,8,3,여름,0,212,9221,7224.0,722.0,507.0,6993.0,2124.9166666666665,1718.7376725838262,19,1,3,2022-08-01,211,7224.0,722.0,279.0,507.0,6993.0,3755.0,2124.9166666666665,-0.8660254037844385,-0.5000000000000004,18.151574803149607,4.337423072400141,2898.3802672147995,6763.337496066618,10891.25741769408,43095.18402964217,4903.265790318436,8144.613151484067,5886.2659506237715,6336.521358608433
베트남,관광,2022,9,3,가을,0,213,10195,9221.0,4534.0,304.0,8880.0,2949.1666666666665,3253.618421052632,19,1,0,2022-09-01,212,9221.0,4534.0,357.0,304.0,8880.0,5394.666666666667,2949.1666666666665,-1.0,-1.8369701987210297e-16,33.42622950819672,3.4557369640133326,2898.3802672147995,6763.337496066618,10891.25741769408,43095.18402964217,6940.123031942275,10477.922893951834,9261.685430755258,8922.629630799604
베트남,관광,2022,10,4,가을,0,214,21853,10195.0,7224.0,303.0,13756.333333333334,4745.0,7112.211221122112,19,1,0,2022-10-01,213,10195.0,7224.0,472.0,303.0,13756.333333333334,8958.166666666666,4745.0,-0.8660254037844386,0.5000000000000001,71.88486842105263,4.604509060261273,2898.3802672147995,6763.337496066618,10891.25741769408,43095.18402964217,8009.968010801535,12494.220357867456,11964.62310534726,10861.76235819135
