국적,목적,년,월,입국자수
태  국,유학연수,2005,1,13.0
태  국,기타,2005,1,3529.0
말레이시아,관광,2005,1,3083.0
말레이시아,상용,2005,1,30.0
말레이시아,공용,2005,1,0.0
말레이시아,유학연수,2005,1,8.0
말레이시아,기타,2005,1,1418.0
싱가포르,관광,2005,1,2902.0
싱가포르,상용,2005,1,24.0
싱가포르,공용,2005,1,1.0
싱가포르,유학연수,2005,1,4.0
싱가포르,기타,2005,1,1493.0
인도네시아,관광,2005,1,1356.0
인도네시아,상용,2005,1,263.0
인도네시아,공용,2005,1,12.0
인도네시아,유학연수,2005,1,16.0
인도네시아,기타,2005,1,2813.0
우즈베키스탄,관광,2005,1,276.0
우즈베키스탄,상용,2005,1,13.0
우즈베키스탄,공용,2005,1,1.0
우즈베키스탄,유학연수,2005,1,14.0
우즈베키스탄,기타,2005,1,308.0
터  키,관광,2005,1,315.0
터  키,상용,2005,1,8.0
터  키,공용,2005,1,0.0
터  키,유학연수,2005,1,5.0
터  키,기타,2005,1,366.0
이스라엘,관광,2005,1,492.0
이스라엘,상용,2005,1,11.0
이스라엘,공용,2005,1,2.0
이스라엘,유학연수,2005,1,0.0
이스라엘,기타,2005,1,106.0
이  란,관광,2005,1,29.0
이  란,상용,2005,1,330.0
이  란,공용,2005,1,1.0
이  란,유학연수,2005,1,2.0
이  란,기타,2005,1,242.0
카자흐스탄,관광,2005,1,86.0
카자흐스탄,상용,2005,1,19.0
카자흐스탄,공용,2005,1,0.0
카자흐스탄,유학연수,2005,1,4.0
카자흐스탄,기타,2005,1,117.0
요르단,관광,2005,1,7.0
요르단,상용,2005,1,145.0
요르단,공용,2005,1,0.0
요르단,유학연수,2005,1,0.0
요르단,기타,2005,1,2.0
사우디아라비아,관광,2005,1,27.0
사우디아라비아,상용,2005,1,9.0
사우디아라비아,공용,2005,1,1.0
사우디아라비아,유학연수,2005,1,1.0
사우디아라비아,기타,2005,1,4.0
이라크,관광,2005,1,25.0
이라크,상용,2005,1,30.0
이라크,공용,2005,1,0.0
이라크,유학연수,2005,1,0.0
이라크,기타,2005,1,2.0
미  국,관광,2005,1,22521.0
미  국,상용,2005,1,2534.0
미  국,공용,2005,1,2433.0
미  국,유학연수,2005,1,125.0
미  국,기타,2005,1,7156.0
에콰도르,관광,2005,1,9.0
에콰도르,상용,2005,1,1.0
에콰도르,공용,2005,1,0.0
에콰도르,유학연수,2005,1,0.0
에콰도르,기타,2005,1,6.0
쿠  바,관광,2005,1,0.0
쿠  바,상용,2005,1,5.0
쿠  바,공용,2005,1,0.0
쿠  바,유학연수,2005,1,0.0
쿠  바,기타,2005,1,0.0
캐나다,관광,2005,1,3657.0
캐나다,상용,2005,1,149.0
캐나다,공용,2005,1,8.0
캐나다,유학연수,2005,1,9.0
캐나다,기타,2005,1,2457.0
브라질,관광,2005,1,321.0
브라질,상용,2005,1,9.0
브라질,공용,2005,1,1.0
브라질,유학연수,2005,1,6.0
브라질,기타,2005,1,100.0
멕시코,관광,2005,1,245.0
멕시코,상용,2005,1,17.0
멕시코,공용,2005,1,1.0
멕시코,유학연수,2005,1,2.0
멕시코,기타,2005,1,47.0
칠  레,관광,2005,1,73.0
칠  레,상용,2005,1,2.0
칠  레,공용,2005,1,0.0
칠  레,유학연수,2005,1,1.0
칠  레,기타,2005,1,59.0
아르헨티나,관광,2005,1,112.0
아르헨티나,상용,2005,1,7.0
아르헨티나,공용,2005,1,0.0
아르헨티나,유학연수,2005,1,0.0
아르헨티나,기타,2005,1,14.0
콜롬비아,관광,2005,1,46.0
콜롬비아,상용,2005,1,1.0
콜롬비아,공용,2005,1,2.0
콜롬비아,유학연수,2005,1,0.0
콜롬비아,기타,2005,1,28.0
페  루,관광,2005,1,34.0
페  루,상용,2005,1,0.0
페  루,공용,2005,1,1.0
페  루,유학연수,2005,1,2.0
페  루,기타,2005,1,10.0
베네수엘라,관광,2005,1,14.0
베네수엘라,상용,2005,1,3.0
베네수엘라,공용,2005,1,0.0
베네수엘라,유학연수,2005,1,0.0
베네수엘라,기타,2005,1,6.0
러시아(연방),관광,2005,1,4149.0
러시아(연방),상용,2005,1,495.0
